MES,VINALAR,AEROPUERTO,SAN CAYETANO,VILLA NUEVA,MUNICIPAL,12 DE OCTUBRE,TRIANGULO,PORVERNIR,CANAL,BELGRANO N,CENTRO,BELGRANO,SOR ANGELA,PROMEDIO MENSUAL,TOTAL MENSUAL,VARIACION MENSUAL (%),CLASIFICACION CONSUMO
ENERO,6,10,2,4,"19,6",1,1,1,"8,4",1,15,1,1,"5,461,538,462",71,0,BAJO
FEBRERO,55,30,15,16,8,6,1,4,3,3,82,4,4,"1,776,923,077",231,"225,4",MEDIO
MARZO,95,36,22,28,10,8,2,4,2,5,142,6,4,28,364,"57,6",ALTO
ABRIL,37,13,8,13,3,1,"9,9",3,2,"6,3",56,"9,5",3,"1,266,923,077","164,7","-54,8",MEDIO
MAYO,75,22,8,19,14,4,2,"6,5",2,4,112,5,"19,4","2,253,076,923","292,9","77,8",MEDIO
JUNIO,71,22,19,16,7,1,2,4,6,2,106,3,4,"2,023,076,923",263,"-10,2",MEDIO
JULIO,98,30,15,11,15,3,5,1,3,4,147,5,1,26,338,"28,5",ALTO
AGOSTO,173,32,24,10,15,2,9,4,7,4,260,5,4,"4,223,076,923",549,"62,4",ALTO
SEPTIEMBRE,138,36,18,13,15,4,8,5,2,5,207,6,4,"3,546,153,846",461,-16,ALTO
OCTUBRE,188,54,21,15,13,5,11,4,7,4,282,5,4,"4,715,384,615",613,33,ALTO
NOVIEMBRE,130,40,22,18,9,2,9,7,4,3,195,4,6,"3,453,846,154",449,"-26,8",ALTO
DICIEMBRE,102,35,19,9,15,3,4,2,2,3,153,4,2,"2,715,384,615",353,"-21,4",ALTO